make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
Toyota, Vitz,2017,Automatic,Petrol,1000,20500,6850000
Toyota, VITZ,2015,Automatic,Petrol,1000,36000,5490000
Toyota, VITZ,2016,Automatic,Petrol,1000,55000,6250000
Toyota, Vios,2006,Automatic,Petrol,1500,163500,4200000
Toyota, SAI,2010,Automatic,Petrol,2300,91000,9000000
Toyota, Corolla,2008,Automatic,Petrol,1600,126550,6000000
Toyota, Coaster,2008,Automatic,Diesel,4000,200000,5200000
Toyota, Axio,2010,Automatic,Petrol,1500,78162,7850000
Toyota, Prius,2009,Automatic,Petrol,1800,200000,4995000
Toyota, Aqua,2013,Automatic,Petrol,1500,106000,5290000
Toyota, Vitz,2007,Automatic,Petrol,1000,91000,4520000
Toyota, Pixis,2014,Automatic,Petrol,650,100000,3675000
Toyota, Sprinter,2000,Automatic,Petrol,1500,10857,2890000
Toyota, Allion,2009,Automatic,Petrol,1500,122000,6975000
Toyota, Vitz,2017,Automatic,Petrol,1000,44500,8250000
Toyota, Harier,2007,Automatic,Petrol,2400,106231,7350000
Toyota, Corolla,2007,Automatic,Petrol,1600,88000,5850000
Toyota, Rush,2010,Automatic,Petrol,1500,82800,7350000
Toyota, VITZ,2018,Automatic,Petrol,1000,22750,6725000
Toyota, Vitz,2017,Automatic,Petrol,1000,56000,6400000
Toyota, Aqua,2013,Automatic,Petrol,1500,80000,5300000
Toyota, Land,2008,Automatic,Diesel,3000,206000,3500000
Toyota, Coaster,2014,Automatic,Diesel,4000,100000,8900000
Toyota, Aqua,2012,Automatic,Petrol,1500,128500,5700000
Toyota, KDH,2007,Automatic,Diesel,2500,200000,8100000
Toyota, Vitz,2016,Automatic,Petrol,1000,77000,6495000
Toyota, Aqua,2012,Automatic,Petrol,1500,140000,4990000
Toyota, Vitz,2007,Automatic,Petrol,1000,81000,4495000
Toyota, Belta,2007,Automatic,Petrol,1000,121000,5195000
Toyota, Allion,2008,Automatic,Petrol,1500,76415,7250000
Toyota, Hilux,2008,Automatic,Diesel,3000,164000,9700000
Toyota, Corolla,2008,Automatic,Petrol,1598,120413,4950000
Toyota, Axio,2013,Automatic,Petrol,1490,101000,7350000
Toyota, KDH,2007,Automatic,Diesel,3000,145200,9175000
Toyota, Axio,2007,Automatic,Petrol,1500,160000,6150000
Toyota, Vitz,2000,Automatic,Petrol,1000,145000,3200000
Toyota, Premio,2014,Automatic,Petrol,1500,115000,10500000
Toyota, Allion,2010,Automatic,Petrol,1500,100,7600000
Toyota, KT42,2000,Automatic,Diesel,2180,218000,4985000
Toyota, NHP,2015,Automatic,Petrol,1500,68900,7485000
Toyota, Prius,2011,Automatic,Petrol,1800,156000,5650000
Toyota, Vitz,2011,Automatic,Petrol,1000,120000,5300000
Toyota, VITZ,2007,Automatic,Petrol,1000,114000,4550000
Toyota, Aqua,2014,Automatic,Petrol,1500,114000,6875000
Toyota, Ractis,2007,Automatic,Petrol,1300,118000,4790000
Toyota, Vitz,2015,Automatic,Petrol,1000,53000,6275000
Toyota, Axio,2007,Automatic,Petrol,1500,170000,6350000
Toyota, Aqua,2014,Automatic,Petrol,1500,64025,6650000
Toyota, Prius,2011,Automatic,Petrol,1,102000,7300000
Toyota, Vitz,2008,Automatic,Petrol,1000,123500,4390000
Toyota, Aqua,2013,Automatic,Petrol,1500,130000,5400000
Toyota, Aqua,2013,Automatic,Petrol,1500,130000,5400000
Toyota, Axio,2007,Automatic,Petrol,1500,149000,5950000
Toyota, Aqua,2016,Automatic,Petrol,1500,66500,7150000
Toyota, KDH,2007,Automatic,Diesel,2490,162000,9375000
Toyota, Passo,2008,Automatic,Petrol,1000,110000,3975000
Toyota, VIOS,2003,Automatic,Petrol,1500,151106,4695000
Toyota, Axio,2016,Automatic,Petrol,1500,55000,10500000
Toyota, Passo,2007,Automatic,Petrol,1000,111,3400000
Toyota, Aqua,2014,Automatic,Petrol,1500,49000,7000000
